,男性,女性
禁止摄入,"主食：如米、面、包子、馒头、油条、油饼、馄饨、饺子、米粉、河粉、粉丝、粉皮、凉粉、凉面等
粗杂粮：如小米、玉米、燕麦、大麦、荞麦、黑麦、藜麦、薏米等",
,水果、果汁,
,碳水化合物含量较高的蔬菜、杂豆、种子及薯类：如土豆、藕、胡萝卜、荸荠、茨菇、菱角、地瓜、南瓜、山芋、芋头、山药、蚕豆、豌豆、毛豆、绿豆、赤豆、莲子、百合、芡实等,
,含糖饮料、糕点、饼干、薯片、冰淇淋、奶茶等,
早餐（6:00 - 8:00）,鸡蛋 1 个 + 蛋白 2 个,
,牛奶 250mL / 无糖普通酸奶 250mL / 无糖希腊酸奶 150mL / 自制豆浆黄豆 40g / 纯豆浆粉（配料表仅大豆或黑豆）40g,
,蔬菜≥100g（生重，如青菜、白菜、菠菜、苋菜、空心菜、茼蒿、芹菜、西兰花、花菜、莴笋、生瓜、丝瓜、冬瓜、黄瓜、苦瓜、西红柿、茄子、豆芽、鲜蘑等）,
,植物油 5g，盐 1g,
午餐（11:00 - 13:00）,蔬菜≥250g（生重，如青菜、白菜、菠菜、苋菜、空心菜、茼蒿、芹菜、西兰花、花菜、莴笋、生瓜、丝瓜、冬瓜、黄瓜、苦瓜、西红柿、茄子、豆芽、鲜蘑等）,
,肉类 150g（鸡肉 / 鸭肉 / 猪肉 / 牛肉 / 羊肉）/ 鱼 240g / 虾 240g / 豆腐干 150g / 豆腐丝 150g / 北豆腐（老豆腐）300g / 南豆腐（嫩豆腐）450g,肉类 100g（鸡肉 / 鸭肉 / 猪肉 / 牛肉 / 羊肉）/ 鱼 160g / 虾 160g / 豆腐干 100g / 豆腐丝 100g / 北豆腐（老豆腐）200g / 南豆腐（嫩豆腐）300g
,植物油 10g，盐 2.5g,
晚餐（17:00 - 19:00）,蔬菜≥250g（生重，如青菜、白菜、菠菜、苋菜、空心菜、茼蒿、芹菜、西兰花、花菜、莴笋、生瓜、丝瓜、冬瓜、黄瓜、苦瓜、西红柿、茄子、豆芽、鲜蘑等）,
,肉类 100g（鸡肉 / 鸭肉 / 猪肉 / 牛肉 / 羊肉）/ 鱼 160g / 虾 160g / 豆腐干 100g / 豆腐丝 100g / 北豆腐（老豆腐）200g / 南豆腐（嫩豆腐）300g,
,植物油 10g，盐 2.5g,
加餐（两餐之间）,西红柿 / 黄瓜 100g（如不饿，可不加）,
运动,"有氧运动：
种类：快走、慢跑、游泳、骑车、椭圆机等
时间：每周 3 - 5 天总计 150 - 300min 中等强度有氧运动
要求：达到最大心率（220 - 年龄）的 50% - 60% 以上",
,"抗阻运动：
哑铃：3 - 5kg，根据个人情况，每个训练日选择针对不同肌群的训练
靠墙静蹲：0.5 - 2min / 组 ×3 - 4 组，根据个人情况，蹲到腿觉酸胀为止，若蹲的位置浅，时间可稍长，若蹲的位置深，时间可稍短
平板支撑：0.5 - 2min / 组 ×3 - 4 组，根据个人情况，头、肩、胯、踝部保持在同一平面，躯干伸直，尽可能最长时间保持姿势
屈膝俯卧撑：10 - 20 个 / 组 ×3 - 4 组，根据个人情况，熟练后可进阶为俯卧撑",
注,"水：每日≥2000mL
咖啡：可饮用美式、拿铁、馥芮白
茶：可饮用淡茶水
苏打水：可饮用原味无糖苏打水
无糖饮料：尽量少喝，减少对甜的渴望，而非依赖甜的代糖食品饮品",
,适当选用膳食营养素补充剂，如善存、鱼油、乳清蛋白粉等,
,尿酸高者：忌荤汤、海鲜、内脏、酒，可食豆腐、豆芽、豆浆，肉烹饪之前先焯水,
,出现便秘者：适当选用益生菌、膳食纤维粉等,
,每周记录 1 - 2 次晨起排空大小便后的体重,